polygon_id,blue,green,red,nir,swir16,swir22,rededge1,rededge2,rededge3,nir08,group_id,time_step,crop
1,0.0288977376239441,0.0627931953573098,0.0464405783818101,0.3498005615061335,0.2034453033240232,0.0980124511646724,0.1052665253134127,0.2693302880863579,0.3272160190254017,0.3661043745901604,0,0,Cocoa
1,0.0572990206416571,0.0834002209425452,0.046839314754427,0.4166316962663745,0.2457281783284264,0.1097797664152613,0.1233687061698001,0.3483009726087364,0.4120410303012527,0.4568114400460132,0,0,Cocoa
1,0.0723906819593818,0.0946581758447687,0.0551801591885103,0.4588106041198496,0.2755197933471628,0.1306950475667453,0.1356879900565327,0.3650489368783642,0.4536789629167097,0.5014167247280794,0,0,Cocoa
1,0.1507043249205282,0.1616030356483955,0.1355567273080423,0.3744024375882673,0.2548870952525031,0.187130082508002,0.2001505520254907,0.3320520302563096,0.3800767711970475,0.4086622229530328,0,0,Cocoa
1,0.0631243821204228,0.0832267593747436,0.0728509201061805,0.2325478477867307,0.1499144801610578,0.078278120435937,0.1113656423283095,0.2001994528016556,0.2313293248509741,0.2599270897086737,0,1,Cocoa
1,0.4617200659577563,0.4395925565641844,0.394563087939785,0.54499884236002,0.4068345583895872,0.3261099266260138,0.4618571622723142,0.5305679188168615,0.5388519878684698,0.546916349281197,0,1,Cocoa
1,0.2325932308972835,0.2116729474871592,0.1777863543010452,0.3011511437569474,0.1988479927772613,0.1510538679702298,0.2031676738054474,0.258780057780294,0.2815244282927922,0.2967076388924993,0,1,Cocoa
1,0.5315994891600178,0.4927181693311971,0.4582238234634063,0.5500188586588954,0.3884734977763102,0.3290815867835879,0.5031196414262549,0.5428447976772817,0.5572599915787201,0.571830695454966,0,1,Cocoa
1,0.0334994414134785,0.0540120547077676,0.0407647794259394,0.2356781906344267,0.1439253845996261,0.0686246520275604,0.0831840634874217,0.191030067356084,0.2282710014745824,0.2557248943722527,0,2,Cocoa
1,0.0836700876976727,0.0933134625597953,0.0709888436162724,0.2728447713539215,0.1584395942209161,0.0825055330959875,0.1110970134638801,0.2270338675629792,0.2736346438644647,0.2978679995169093,0,2,Cocoa
1,0.0418088253520457,0.0509111642385663,0.0350159866332927,0.1755501800943582,0.1060669409098244,0.0594889137012833,0.0648308467136578,0.1497926739024704,0.1821111434759473,0.194452663972402,0,2,Cocoa
1,0.1903826563326596,0.1929339366399603,0.1605570437656026,0.3993846704959138,0.2788588159273309,0.2014944822335889,0.2217107133337255,0.3510239534553006,0.3998286214670091,0.428041633917488,0,2,Cocoa
1,0.0317688394141221,0.0497731783506374,0.0413142612272949,0.2106099551588843,0.1318715755288891,0.0662619712959519,0.0759997342203277,0.1677102687947959,0.2036081149207102,0.2255840481486234,0,3,Cocoa
1,0.0453224241953891,0.0696852475319202,0.041852890973742,0.3512165862791123,0.2155681726852777,0.1002888491112872,0.103381019205469,0.289733250301461,0.3439728577461725,0.3825930697149696,0,3,Cocoa
1,0.0363710884717264,0.0501975466754274,0.0282808155325432,0.2457471727599985,0.1356057526670765,0.0606646988077893,0.0721346030894289,0.2022751222525564,0.2465287812144676,0.2717719725530367,0,3,Cocoa
